dataset,impl,n,energy_total_mean,energy_total_sd,energy_total_var,energy_total_median,energy_total_min,energy_total_max,cpu_energy_mean,cpu_energy_sd,cpu_energy_var,cpu_energy_median,cpu_energy_min,cpu_energy_max,gpu_energy_mean,gpu_energy_sd,gpu_energy_var,gpu_energy_median,gpu_energy_min,gpu_energy_max,power_avg_total_mean,power_avg_total_sd,power_avg_total_var,power_avg_total_median,power_avg_total_min,power_avg_total_max,power_avg_cpu_mean,power_avg_cpu_sd,power_avg_cpu_var,power_avg_cpu_median,power_avg_cpu_min,power_avg_cpu_max,power_avg_gpu_calc_mean,power_avg_gpu_calc_sd,power_avg_gpu_calc_var,power_avg_gpu_calc_median,power_avg_gpu_calc_min,power_avg_gpu_calc_max,power_avg_gpu_meas_mean,power_avg_gpu_meas_sd,power_avg_gpu_meas_var,power_avg_gpu_meas_median,power_avg_gpu_meas_min,power_avg_gpu_meas_max,runtime_mean,runtime_sd,runtime_var,runtime_median,runtime_min,runtime_max,mem_gib_mean,mem_gib_sd,mem_gib_var,mem_gib_median,mem_gib_min,mem_gib_max,cpu_util_mean,cpu_util_sd,cpu_util_var,cpu_util_median,cpu_util_min,cpu_util_max,gpu_util_mean,gpu_util_sd,gpu_util_var,gpu_util_median,gpu_util_min,gpu_util_max,mse_mean,mse_sd,mse_var,mse_median,mse_min,mse_max
digits,xgb_gpu,20,29.9720949228,0.10978779438451297,0.012053359795816098,30.028315708999997,29.843838117,30.108593773000003,25.91274414,0.22850530327447685,0.05221467362456064,25.89447021,25.56933594,26.23339844,4.0593507828,0.1761575535592533,0.031031483675981197,4.024807357,3.798479223,4.278513412,4.172588235586151,0.02363959228615179,5.588303234554873e-4,4.160202410825478,4.153943234225965,4.216530927470621,3.60738497611856,0.02571622795813804,6.613243803949206e-4,3.6210649847475436,3.5617980395767614,3.6285459465242886,0.565203259467591,0.026405870268580583,6.97269984641108e-4,0.5610542854459996,0.525397287701676,0.5959951685457999,4.2726666666,0.25363232578007106,0.06432935668060809,4.313333333,3.866666667,4.52,7.1832159044,0.029707874113491947,8.82557784343085e-4,7.178771973,7.140607834,7.229727507,13.559061431884766,0.06731273426382413,0.004531004194072203,13.55704116821289,13.460784912109375,13.632270812988281,24.010436466,0.40814689626555484,0.1665838889312056,24.13329179,23.34147808,24.50788437,11.318118,0.7978397321557231,0.636548238206316,11.29458,10.03721,12.48211,0.0058,0,0,0.0058,0.0058,0.0058
iris,trh_gpu,20,61.251488956799996,0.48903340895826586,0.23915367507734248,61.133075203,60.644233639999996,61.831696996,57.033740234,0.16054919431043874,0.025776043793731017,57.01953125,56.80340576,57.29602051,4.2177487228,0.3710919620218921,0.1377092442772574,4.113543953,3.84082788,4.739118112,8.535853468061164,0.0850969144510071,0.007241484849082021,8.524966181369818,8.418246047688859,8.635009360107246,7.94799364423444,0.03650545350625274,0.0013326481356971808,7.951335246422471,7.885086797749277,7.989423718841407,0.5878598238267229,0.05285965033525448,0.002794142633565369,0.5736309349473462,0.5331592499395822,0.662444135850894,4.112,0.25827679038115425,0.0667069004495907,3.99,3.836666667,4.553333333,7.175929785,0.016658393510198714,2.7750207434063066e-4,7.171483517,7.153989077,7.203903675,13.865625,0.08554152789516463,0.0073173529946392295,13.905845642089844,13.699176788330078,13.91595458984375,17.618854658,0.5696677221856993,0.324521313700243,17.75207431,16.62285796,18.29202411,8.69248,0.50438387636486,0.25440309473684247,8.29108,8.29108,9.29458,0.0119,0,0,0.0119,0.0119,0.0119
wine,trh_gpu,20,61.8455984446,1.0108797250873458,1.0218778185926678,61.422581165,61.137962568999995,63.802548378,57.603808596,1.1455661055751845,1.3123217022426945,57.09063721,56.88690186,59.82836914,4.2417898486,0.2505952552365973,0.06279798194709536,4.331943955,3.950584639,4.585493548,8.614861376008148,0.13216810293314027,0.017468407432945164,8.561557742262071,8.49347247920886,8.863314906336988,8.02389857013855,0.14750200477290173,0.021756841412025125,7.9577376551943315,7.94464519582887,8.31123034269335,0.5909628058695982,0.036465598440835786,0.0013297398696482854,0.60382008706774,0.5488272833799898,0.6414937313643797,4.1386666666,0.25049751641457724,0.0627490057298714,4.19,3.726666667,4.473333333,7.1788628102,0.019132036321897288,3.6603481382239706e-4,7.175207615,7.148150206,7.198497295,13.849948120117187,0.08178127435065209,0.006688176834416626,13.899185180664062,13.693958282470703,13.900260925292969,18.024612926,0.7140375960372082,0.5098496885545952,17.89424524,17.39519782,19.33452909,9.394544,0.08667260153498482,0.007512139856842254,9.46352,9.29108,9.46352,0.0478,0,0,0.0478,0.0478,0.0478
breast_cancer,trh_gpu,20,61.0496786678,0.1750599454028244,0.030645984484439864,61.035039326,60.813701054999996,61.318784377,57.053308104,0.12162235190422935,0.0147919964827162,57.04382324,56.84521484,57.18127441,3.9963705637999998,0.10345679995838676,0.010703309457629656,3.968486215,3.880010026,4.137509967,8.502532623833162,0.029182764929981266,8.516337689585445e-4,8.503404048498039,8.4718315475904,8.551559207449115,7.945947252574219,0.02207674785385621,4.8738279580274474e-4,7.934632664458345,7.918989899587291,7.9745392646421145,0.5565853712589428,0.014509882874167787,2.1053670102206762e-4,0.5528416480031092,0.5409167595408235,0.5770199428070004,3.9746666666,0.17027806622103922,0.028994619835976614,4.023333333,3.73,4.16,7.1801923752,0.008268301551939288,6.836481055380165e-5,7.178341627,7.170480013,7.189893723,13.854064178466796,0.07591900996486076,0.005763696074044626,13.89279556274414,13.707988739013672,13.901012420654297,18.319656198,0.9378520408649976,0.8795664505546412,17.94812956,17.58994785,20.12304372,12.341698,0.19698866848521793,0.03880453551157909,12.18493,12.18493,12.57685,0.057,0,0,0.057,0.057,0.057
digits,trh_gpu,20,62.355366423599996,1.139068974210435,1.2974781280088128,61.855584162999996,61.250180358,64.024713311,58.062292479999996,1.1013671713746127,1.2130096461817157,57.48028564,57.00866699,59.9140625,4.2930739436,0.2332299574967972,0.05439621307395783,4.241513368,4.04944684,4.688460176,8.679449512385656,0.11783354884589031,0.013884745233616819,8.635723503268084,8.558690432709575,8.830798626531664,8.081814932477046,0.11197019976662408,0.012537325635777702,8.02488345058475,7.977452836051915,8.263824911872431,0.5976345799086088,0.03290517702891914,0.0010827506753045078,0.5935320826329622,0.5649428982095283,0.6518841513579884,4.378,0.4173018317257158,0.1741408187616376,4.426666667,3.78,4.91,7.183839321,0.037224238465524924,0.0013856439293382652,7.167886972,7.14622426,7.250161171,13.8503662109375,0.0743601860739771,0.005529437272956498,13.883171081542969,13.706169128417969,13.899490356445312,18.068343488,0.5883908229994931,0.3462037605900208,17.89947729,17.50609457,19.16716258,10.43721,0.5026246899500345,0.2526315789473684,10.03721,10.03721,11.03721,0.0095,0,0,0.0095,0.0095,0.0095
