dataset,impl,n,energy_total_mean,energy_total_sd,energy_total_var,energy_total_median,energy_total_min,energy_total_max,cpu_energy_mean,cpu_energy_sd,cpu_energy_var,cpu_energy_median,cpu_energy_min,cpu_energy_max,gpu_energy_mean,gpu_energy_sd,gpu_energy_var,gpu_energy_median,gpu_energy_min,gpu_energy_max,power_avg_total_mean,power_avg_total_sd,power_avg_total_var,power_avg_total_median,power_avg_total_min,power_avg_total_max,power_avg_cpu_mean,power_avg_cpu_sd,power_avg_cpu_var,power_avg_cpu_median,power_avg_cpu_min,power_avg_cpu_max,power_avg_gpu_calc_mean,power_avg_gpu_calc_sd,power_avg_gpu_calc_var,power_avg_gpu_calc_median,power_avg_gpu_calc_min,power_avg_gpu_calc_max,power_avg_gpu_meas_mean,power_avg_gpu_meas_sd,power_avg_gpu_meas_var,power_avg_gpu_meas_median,power_avg_gpu_meas_min,power_avg_gpu_meas_max,runtime_mean,runtime_sd,runtime_var,runtime_median,runtime_min,runtime_max,mem_gib_mean,mem_gib_sd,mem_gib_var,mem_gib_median,mem_gib_min,mem_gib_max,cpu_util_mean,cpu_util_sd,cpu_util_var,cpu_util_median,cpu_util_min,cpu_util_max,gpu_util_mean,gpu_util_sd,gpu_util_var,gpu_util_median,gpu_util_min,gpu_util_max,accuracy_mean,accuracy_sd,accuracy_var,accuracy_median,accuracy_min,accuracy_max
breast_cancer,trh_gpu,20,61.3918335232,3.1428699643906874,9.87763161306912,59.893987944,58.219622163,66.809551399,56.242871094,2.8677702270074956,8.224106074910623,55.05938721,53.84741211,61.69274902,5.1489624292,1.3913980850791685,1.9359886311619772,4.380465274,4.099615384,7.775719056,8.556019265953115,0.4409211463474819,0.19441145729637754,8.336423977568757,8.133992293263605,9.339045973016084,7.838855441863859,0.41115423210004687,0.16904780257377922,7.681810404098349,7.523141147990575,8.623788174517616,0.717163824089256,0.1914945515467314,0.036670163272083764,0.6111565242864373,0.5706103927816849,1.0779432596066585,5.0306666666,1.2586512785931563,1.5842030411041872,4.366666667,4.043333333,7.33,7.1753901006,0.022394279441416243,5.015037517002382e-4,7.16750145,7.153787613,7.213477135,13.85508041381836,0.045066422899247595,0.002030982472933828,13.864933013916016,13.773006439208984,13.901496887207031,19.093243556,2.5934497617549823,6.725981666746975,17.53530363,17.48923779,24.02939648,9.931962,1.3951494441347398,1.9464419714694734,10.48267,7.23895,10.97285,0.9614032,0.007199905683592779,5.1838641852631605e-5,0.95614,0.95614,0.973684
digits,trh_gpu,20,59.229666461200004,1.0115092194167443,1.0231509009650714,59.320950048,57.490269217000005,60.50505999,55.26040039,0.9822985190869907,0.9649103806004952,55.4697876,53.56451416,56.50830078,3.9692660712,0.08244280036487814,0.006796815332003152,3.978477716,3.851162448,4.094175925,8.245476421698038,0.13356656291433353,0.017840026728748615,8.263210781434472,8.023437811214887,8.426655693632878,7.692893455254851,0.12942975854362584,0.01675206239666129,7.707524076719169,7.475552891020638,7.8700193766274475,0.5525829664431858,0.011738533770299858,1.377931750764702e-4,0.5556867047153031,0.5339845123134325,0.5687223779875169,3.9473333332,0.3047952048236026,0.09290011688346188,3.81,3.603333333,4.413333333,7.1832168102,0.02037139738205394,4.149938312975542e-4,7.180198431,7.15956974,7.212123871,13.836640930175781,0.040622820097699415,0.0016502135126900514,13.85614013671875,13.78350830078125,13.882793426513672,17.730337216,0.7481937493033658,0.5597938864966278,17.58035013,16.66727999,18.64685746,8.919722,1.1256968116149213,1.2671933116799996,8.15644,8.15644,10.97285,1,0,0,1,1,1
iris,xgb_cpu,20,22.352673338,0.05314731127430939,0.0028246366956883344,22.3538208,22.27490234,22.41088867,22.352673338,0.05314731127430939,0.0028246366956883344,22.3538208,22.27490234,22.41088867,NA,NA,NA,NA,NA,NA,10.66834644449137,0.0878485545397927,0.0077173685347309345,10.69026397105153,10.537666257839813,10.794855792650056,10.66834644449137,0.0878485545397927,0.0077173685347309345,10.69026397105153,10.537666257839813,10.794855792650056,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.095348549,0.015352901317629258,2.357115788688622e-4,2.096383095,2.070784569,2.117948771,13.310688781738282,0.06410177949479723,0.004109038134399606,13.338027954101562,13.18597412109375,13.346244812011719,23.230093202,0.30797112356510675,0.09484621294995427,23.28771293,22.69919086,23.56232029,NA,NA,NA,NA,NA,NA,1,0,0,1,1,1
wine,xgb_cpu,20,22.465368654,0.12228837651408984,0.014954447030451802,22.43548584,22.28344727,22.62097168,22.465368654,0.12228837651408984,0.014954447030451802,22.43548584,22.28344727,22.62097168,NA,NA,NA,NA,NA,NA,10.72844399090624,0.21902628394919005,0.04797251306059123,10.806616555935488,10.33029250564347,10.923183653218917,10.72844399090624,0.21902628394919005,0.04797251306059123,10.806616555935488,10.33029250564347,10.923183653218917,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.0947693824,0.04112401904811095,0.0016911849426693923,2.073447704,2.062018871,2.171815157,13.310478210449219,0.07169711177499818,0.005140475836876584,13.338050842285156,13.171443939208984,13.356391906738281,23.069329316,0.2992598341893451,0.08955644835903431,23.17188196,22.71887974,23.39245909,NA,NA,NA,NA,NA,NA,1,0,0,1,1,1
breast_cancer,xgb_cpu,20,24.972766112,3.58456438199952,12.849101808699599,23.26928711,23.04772949,31.95776367,24.972766112,3.58456438199952,12.849101808699599,23.26928711,23.04772949,31.95776367,NA,NA,NA,NA,NA,NA,11.91946585858468,1.66922887636197,2.7863250416806453,11.144747310908723,11.038129358073984,15.17218110031557,11.91946585858468,1.66922887636197,2.7863250416806453,11.144747310908723,11.038129358073984,15.17218110031557,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.0943212512000002,0.010989743193455307,1.2077445545809726e-4,2.090150595,2.080003262,2.107197762,13.333802032470704,0.08466042806951414,0.007167388080913378,13.375350952148438,13.172595977783203,13.395660400390625,27.475329464,3.6268861168737856,13.154302904771807,24.92812629,24.68754188,33.52588887,NA,NA,NA,NA,NA,NA,0.947368,0,0,0.947368,0.947368,0.947368
digits,xgb_cpu,20,22.626037598,0.15884452680239386,0.02523158369507642,22.64898682,22.44921875,22.8762207,22.626037598,0.15884452680239386,0.02523158369507642,22.64898682,22.44921875,22.8762207,NA,NA,NA,NA,NA,NA,10.88001848750011,0.1437450280075502,0.020662633076891392,10.931041830471127,10.63438996088965,11.05225543402816,10.88001848750011,0.1437450280075502,0.020662633076891392,10.931041830471127,10.63438996088965,11.05225543402816,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.079788971,0.01739830214082834,3.027009173835519e-4,2.071009159,2.069788694,2.11350441,13.279566192626953,0.09460605175112342,0.008950305027936242,13.348339080810547,13.160003662109375,13.3634033203125,23.81053558,0.5147773172208512,0.26499568632509685,23.73092742,23.29752102,24.75218289,NA,NA,NA,NA,NA,NA,0.958333,0,0,0.958333,0.958333,0.958333
iris,xgb_gpu,20,28.287207820200003,2.3387926103229315,5.469950874101151,27.232447655,26.988159239,32.836345514,23.968212892,1.8079619072836017,3.2687262581885586,23.20758057,22.91790771,27.47949219,4.3189949282,0.5733407390533515,0.3287196030582433,4.179234263,3.682922419,5.356853324,3.93399473470238,0.32849795486525873,0.10791090635065756,3.7939506577967292,3.7452290148664282,4.5723374022668954,3.3332989141505487,0.2538798006630277,0.06445495318469865,3.228945361051656,3.1799032464073225,3.82641575878376,0.6006958205518315,0.08035932870470378,0.006457621709870629,0.5814703107701841,0.5114740814388882,0.7459216434831349,4.4193333334,0.6157215138240865,0.3791129825858247,4.493333333,3.766666667,5.456666667,7.1908904076,0.011492886210314603,1.3208643344323956e-4,7.187356234,7.17786026,7.207108498,13.348967742919921,0.09907602886627324,0.00981605949591061,13.409732818603516,13.226917266845703,13.437240600585938,25.783753496,1.3193989133360782,1.7408134925124241,25.44431312,24.77443363,28.30005171,4.91875,0.8207878118003457,0.6736926319999996,4.31874,4.31874,6.31874,1,0,0,1,1,1
wine,xgb_gpu,20,28.586988736400002,1.5288735374413185,2.3374542934883307,27.67621609,27.615941353,31.493966757000003,23.68828125,0.4836839013866639,0.233950116460624,23.45123291,23.39501953,24.62414551,4.8987074864,1.0495514085407758,1.1015581591699264,4.258395915,4.204564403,6.869821247,3.98253056937882,0.22404321893888887,0.0501953639524989,3.850905954130877,3.830580148425445,4.406557577350966,3.2997994893373908,0.0759700337879528,0.005771446033742691,3.2630361083739094,3.2473691425417566,3.445349257529328,0.6827310800414295,0.14841590741725308,0.02202728157448664,0.5925112728097967,0.5832110058836886,0.9612083198216388,4.8180000002,0.8065712572287144,0.6505571929875089,4.556666667,3.996666667,5.936666667,7.1791109084,0.021804033534144517,4.7541587835809863e-4,7.186936378,7.147068024,7.209336519,13.353243255615235,0.10290487455710026,0.01058941320761254,13.41843032836914,13.220672607421875,13.457778930664062,25.156351364,1.096572823476305,1.2024719571867954,25.64249843,23.10130827,26.114236,5.1182300000000005,0.10343913745722508,0.010699655157894705,5.06782,5.06782,5.31987,1,0,0,1,1,1
breast_cancer,xgb_gpu,20,29.847854090000002,1.0763886857214147,1.1586126027490744,29.315663002,29.046689576000002,31.899939445,25.66838379,1.1732017710093672,1.3764023954995157,25.57769775,24.15472412,27.6817627,4.1794703,0.4086518014902282,0.16699629486120887,4.076710362,3.677363319,4.891965456,4.151603562775063,0.15622986712990689,0.02440777138342836,4.07802727767131,4.026080797960838,4.446739088916301,3.5703612338207624,0.1695282505006574,0.02873982771781364,3.553616255915202,3.3480190816624402,3.8587401227022995,0.5812423289543003,0.056065773039212466,0.0031433709064844838,0.5671008040400477,0.5109114274878269,0.6780617162983976,4.2620000000000005,0.6035164014372292,0.3642320468037428,3.976666667,3.833333333,5.4,7.189876318,0.015669427633823046,2.455309623716173e-4,7.188687325,7.173782587,7.214631557,13.361288452148438,0.10538781355774948,0.011106591246482967,13.411460876464844,13.231269836425781,13.486297607421875,25.187510122,1.1486089508835529,1.319302522049816,24.58563511,24.08821923,26.59721712,7.68211,0.410391340834062,0.16842105263157922,7.48211,7.48211,8.48211,0.947368,0,0,0.947368,0.947368,0.947368
digits,xgb_gpu,20,27.6898873224,0.5593637521113618,0.312887807176101,27.695070431,26.95103182,28.630097136,23.614953612,0.5736319874699934,0.3290536570487747,23.37219238,23.2444458,24.72436523,4.0749337104,0.27457672412452855,0.07539237743095745,4.007142129,3.70658602,4.432330446,3.8465674874005855,0.08623679330594088,0.007436784519691569,3.845842075643573,3.716820713245907,3.9794667772350696,3.2804136953704197,0.08267045700218799,0.006834404460950614,3.2475298715878607,3.205644896803132,3.436585965937706,0.566153792030166,0.03971777438134771,0.0015775016018076402,0.55828936141678,0.511175816442775,0.6181317986774529,4.078,0.34852806621276816,0.12147181293801172,4.016666667,3.683333333,4.7,7.1989837172,0.02906109663630674,8.44547337704759e-4,7.194455624,7.170526505,7.251098156,13.368694305419922,0.11400826029239572,0.012997883414898655,13.43466567993164,13.226593017578125,13.484821319580078,25.285973372,0.9927226556990518,0.9854982711381782,25.68980984,23.36535503,25.99475121,6.49458,0.41039134083406165,0.16842105263157894,6.29458,6.29458,7.29458,0.958333,0,0,0.958333,0.958333,0.958333
